"GMD","Team","Year","Result","For","Aga","Diff","HTf","HTa","Opposition","Ground","Match.Date","diff.Date","Year.WR","TO.6Day","Team.Opp","diff.Date.Opp","Year.WR.Opp","TO.6Day.Opp","diff.Date.adv"
"Millennium Stadium 15-Mar-08","Wales","08","won",29,12,17,9,6,"v France","Millennium Stadium","15-Mar-08",7,1,FALSE,"France",6,0.6,TRUE,1
"Rome 15-Mar-08","Italy","08","won",23,20,3,10,17,"v Scotland","Rome","15-Mar-08",6,0.2,TRUE,"Scotland",7,0.2,FALSE,-1
"Twickenham 15-Mar-08","England","08","won",33,10,23,13,10,"v Ireland","Twickenham","15-Mar-08",7,0.6,FALSE,"Ireland",7,0.4,FALSE,0
"Croke Park 07-Feb-09","Ireland","09","won",30,21,9,13,10,"v France","Croke Park","07-Feb-09",329,1,FALSE,"France",329,0.6,FALSE,0
"Twickenham 07-Feb-09","England","09","won",36,11,25,22,6,"v Italy","Twickenham","07-Feb-09",329,0.6,FALSE,"Italy",329,0,FALSE,0
"Murrayfield 08-Feb-09","Scotland","09","lost",13,26,-13,3,16,"v Wales","Murrayfield","08-Feb-09",330,0.2,FALSE,"Wales",330,0.6,FALSE,0
"Millennium Stadium 14-Feb-09","Wales","09","won",23,15,8,9,8,"v England","Millennium Stadium","14-Feb-09",6,0.6,TRUE,"England",7,0.6,FALSE,-1
"Stade de France 14-Feb-09","France","09","won",22,13,9,6,3,"v Scotland","Stade de France","14-Feb-09",7,0.6,FALSE,"Scotland",6,0.2,TRUE,1
"Rome 15-Feb-09","Italy","09","lost",9,38,-29,9,14,"v Ireland","Rome","15-Feb-09",8,0,FALSE,"Ireland",8,1,FALSE,0
"Stade de France 27-Feb-09","France","09","won",21,16,5,13,13,"v Wales","Stade de France","27-Feb-09",13,0.6,FALSE,"Wales",13,0.6,FALSE,0
"Croke Park 28-Feb-09","Ireland","09","won",14,13,1,3,3,"v England","Croke Park","28-Feb-09",13,1,FALSE,"England",14,0.6,FALSE,-1
"Murrayfield 28-Feb-09","Scotland","09","won",26,6,20,16,3,"v Italy","Murrayfield","28-Feb-09",14,0.2,FALSE,"Italy",13,0,FALSE,1
"Murrayfield 14-Mar-09","Scotland","09","lost",15,22,-7,12,9,"v Ireland","Murrayfield","14-Mar-09",14,0.2,FALSE,"Ireland",14,1,FALSE,0
"Rome 14-Mar-09","Italy","09","lost",15,20,-5,9,7,"v Wales","Rome","14-Mar-09",14,0,FALSE,"Wales",15,0.6,FALSE,-1
"Twickenham 15-Mar-09","England","09","won",34,10,24,29,0,"v France","Twickenham","15-Mar-09",15,0.6,FALSE,"France",16,0.6,FALSE,-1
"Millennium Stadium 21-Mar-09","Wales","09","lost",15,17,-2,6,0,"v Ireland","Millennium Stadium","21-Mar-09",7,0.6,FALSE,"Ireland",7,1,FALSE,0
"Rome 21-Mar-09","Italy","09","lost",8,50,-42,3,25,"v France","Rome","21-Mar-09",7,0,FALSE,"France",6,0.6,TRUE,1
"Twickenham 21-Mar-09","England","09","won",26,12,14,15,3,"v Scotland","Twickenham","21-Mar-09",6,0.6,TRUE,"Scotland",7,0.2,FALSE,-1
"Croke Park 06-Feb-10","Ireland","10","won",29,11,18,23,8,"v Italy","Croke Park","06-Feb-10",322,0.6,FALSE,"Italy",322,0.2,FALSE,0
"Twickenham 06-Feb-10","England","10","won",30,17,13,13,3,"v Wales","Twickenham","06-Feb-10",322,0.4,FALSE,"Wales",322,0.4,FALSE,0
"Murrayfield 07-Feb-10","Scotland","10","lost",9,18,-9,6,15,"v France","Murrayfield","07-Feb-10",323,0.2,FALSE,"France",323,1,FALSE,0
"Millennium Stadium 13-Feb-10","Wales","10","won",31,24,7,9,18,"v Scotland","Millennium Stadium","13-Feb-10",7,0.4,FALSE,"Scotland",6,0.2,TRUE,1
"Stade de France 13-Feb-10","France","10","won",33,10,23,17,3,"v Ireland","Stade de France","13-Feb-10",6,1,TRUE,"Ireland",7,0.6,FALSE,-1
"Rome 14-Feb-10","Italy","10","lost",12,17,-5,6,6,"v England","Rome","14-Feb-10",8,0.2,FALSE,"England",8,0.4,FALSE,0
